wkt_geom,No,ST_NAME,ST_CODE,Control_og,BS_CODE,Gage_type,River_syst,A(km2),section_le,Slope,Out_len(km,thres_len(,Zero(EL.m),Zero_st(EL,Ebb_effect,Max_el(m),Time_Sirie,Daily_Siri,Longitude,Latitude,Latitude_d,Longitude_,X,Y
POINT(363558.09272552188485861 545463.77458627871237695),1,Imgye,1001620,MOLIT,100103,T/M,Hangang,157.39,160,160,2.99,17.4,491.02,496.562,N,5,1972Y 08M?~ 2013Y 09M,1962Y 11M?~ 2013Y 09M,128.8494444,37.49416667,128-50-58,37-29-39,363558.093,545463.775
POINT(363401.11168174003250897 542191.04601653490681201),2,Hyulcheon,1001622,MOLIT,100102,T/M,Hangang,284.7,,,0.41,,479.382,486.312,N,7,2010Y 12M?~ 2013Y 09M,2010Y 12M?~ 2013Y 09M,128.8469444,37.46472222,128-50-49,37-27-53,363401.112,542191.046
POINT(352004.18755171040538698 544288.5633582005975768),3,Songcheon,1001625,MOLIT,100106,T/M,Hangang,349.5,,,2.17,,374.685,383.167,N,6,2007Y 05M?~ 2013Y 09M,2007Y 05M?~ 2013Y 09M,128.7186111,37.48555556,128-43-07,37-29-08,352004.188,544288.563
POINT(346002.07495563407428563 538968.77270411315839738),4,Najeon,1001630,MOLIT,100109,T/M,Hangang,452.6,,,0.27,,333.208,344.183,N,8,2007Y 05M?~ 2013Y 09M,2007Y 05M?~ 2013Y 09M,128.6497222,37.43861111,128-38-59,37-26-19,346002.075,538968.773
POINT(347998.95705931517295539 531756.00998508953489363),5,Yaesan,1001649,MOLIT,100111,T/M,Hangang,229.76,,,0.2,,300.915,309.28,N,6,2008Y 02M?~ 2013Y 09M,2008Y 02M?~ 2013Y 09M,128.6708333,37.37333333,128-40-15,37-22-24,347998.957,531756.01
POINT(346783.47713017603382468 532289.73307236668188125),6,Jeongseon2,1001655,MOLIT,100112,T/M,Hangang,1688.41,340,270,380.6,108.6,296.789,312.418,N,12,1970Y 07M?~ 2013Y 09M,1968Y 01M?~ 2013Y 09M,128.6572222,37.37833333,128-39-26,37-22-42,346783.477,532289.733
POINT(350149.19063864997588098 525780.08192793244961649),7,Nakdong,1001660,MOLIT,100114,T/M,Hangang,186.97,,,14.43,,324.016,330.112,N,5,2009Y 10M?~ 2013Y 09M,2009Y 10M?~ 2013Y 09M,128.6938889,37.31916667,128-41-38,37-19-09,350149.191,525780.082
POINT(334195.24198606994468719 516103.25194406730588526),8,Geoun,1001670,MOLIT,100117,T/M,Hangang,2270.73,220,700,317.37,167.4,196.936,211.941,N,12,1972Y 08M?~ 2013Y 09M,1962Y 11M?~ 2013Y 09M,128.5122222,37.23444444,128-30-44,37-14-04,334195.242,516103.252
POINT(331032.00246707594487816 510224.84844415739644319),9,Yeongwol,1001690,MOLIT,100117,T/M,Hangang,2440.36,290,2660,306.5,186.5,183.205,197.494,N,12,1917Y 09M?~ 2013Y 09M,1917Y 06M?~ 2013Y 09M,128.4755556,37.18194444,128-28-32,37-10-55,331032.002,510224.848
POINT(329950.02108778600813821 558995.94670824194326997),10,Imokjeong,1002605,MOLIT,100201,T/M,Hangang,56.33,,,10.36,0,590.873,598.566,N,4,1983Y 06M?~ 2013Y 09M,1982Y 01M?~ 2013Y 09M,128.4719444,37.62138889,128-28-19,37-37-17,329950.021,558995.947
POINT(324784.70817379979416728 555030.7354011150309816),11,Jangpyeonggyo,1002610,MOLIT,100201,T/M,Hangang,104.76,,,4.51,0,526.963,534.872,N,7,1983Y 06M?~ 2013Y 09M,1982Y 01M?~ 2013Y 09M,128.4127778,37.58638889,128-24-46,37-35-11,324784.708,555030.735
POINT(324297.67575612501241267 554776.70740363583900034),12,Baekokpo,1002615,MOLIT,100201,T/M,Hangang,143.93,,,1.27,0,506.214,512.563,N,4,1983Y 06M?~ 2013Y 09M,1981Y 01M?~ 2013Y 09M,128.4072222,37.58416667,128-24-26,37-35-03,324297.676,554776.707
POINT(324725.65715473098680377 542601.62154756987001747),13,Sanganmi,1002625,MOLIT,100202,T/M,Hangang,392.93,,,101.5,0,385.387,395.077,N,8,1983Y 06M?~ 2013Y 09M,1982Y 01M?~ 2013Y 09M,128.41,37.47444444,128-24-36,37-28-28,324725.657,542601.622
