no,관측소명,수계명,관측종별,위치,경도,위도,관측개시일,해발고(EL.m),관측소코드,관측소영문,관할기관,Xr,Yr
1,방림,한강,자기,강원 평창군 방림면 방림리 면사무소,128-17-45,37-26-47,1964-06-00,480,10024060,Bangrim,국토교통부,314601.5422,439034.6588
2,가평,한강,자기,강원 평창군 대화면 하얀미리 가평초등학교,128-28-55,37-26-50,1951-00-00,470,10024010,Gapyeong,국토교통부,331070.2178,439369.4331
3,수동,한강,자기,강원 평창군 방림면 계촌리 수동초등학교(폐교),128-20-43,37-27-14,1982-07-00,440,10024100,Sudong,국토교통부,318965.294,439928.3128
4,대화,한강,자기,강원 평창군 대화면 대화리 면사무소,128-27-18,37-29-34,1964-06-00,500,10024210,Daehwa,한국수자원공사,328607.7685,444388.8618
5,신리,한강,자기,강원 평창군 대화면 신리 신리초등학교,128-27-23,37-32-14,1982-07-00,500,10024150,Sinri,국토교통부,328654.3821,449323.9845
6,유천,한강,자기,강원 평창군 봉평면 유포2리,128-22-38,37-31-32,1982-07-00,490,10024110,Yoocheon,국토교통부,321675.8211,447923.7956
7,등매,한강,자기,강원 평창군 보평면 유포리 등매초등학교,128-23-35,37-33-06,1982-07-00,500,10024120,Deungmae,국토교통부,323032.6798,450842.6276
8,용전,한강,자기,강원 평창군 용평면 용전리 용전초등학교,128-26-22,37-36-38,1982-07-00,560,10024130,Yongjeon,국토교통부,327032.2012,457440.8515
9,계방,한강,자기,강원 평창군 용평면 노동리 계방분교,128-27-46,37-40-28,1982-07-00,700,10024160,Gyebang,국토교통부,328982.2301,464564.3026
10,흥정,한강,자기,강원 평창군 진부면 동산리 오대산장,128-19-29,37-39-01,1982-07-00,640,10024090,Heungjeong,국토교통부,316839.8548,461701.1021
